last_name,first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95per-swing,ev95percent,barrels,brl_percent,brl_pa
Zunino, Mike,572287,202,23.2,31.7,117.3,90.7,100,81.4,472,196,403,95,13.5,47,49,24.3,13.1
Tatis Jr., Fernando,665487,329,13.8,33.1,116.6,93.9,99.9,87.9,477,186,416,183,16.7,55.6,70,21.3,12.8
Acuña Jr., Ronald,660670,217,18.2,39.6,117.9,93.8,97.9,88.4,481,201,416,119,19.2,54.8,44,20.3,12.2
Ohtani, Shohei,660271,350,16.6,35.4,119,93.6,100.4,85.9,470,200,416,187,15.7,53.4,78,22.3,12.2
Buxton, Byron,621439,173,13.3,35.3,115.6,92.5,97.9,86.9,457,186,417,93,19,53.8,31,17.9,12.2
Dalbec, Bobby,666915,262,17.3,36.3,115.6,92.4,97,86.6,453,197,403,126,13.6,48.1,53,20.2,11.7
Donaldson, Josh,518626,351,14.6,30.2,114.7,94.1,98.7,90.4,446,174,410,185,19.3,52.7,61,17.4,11.2
Perez, Salvador,521692,454,15.9,34.1,114.4,93,97.6,88.8,460,190,407,255,18.1,56.2,74,16.3,11.1
Judge, Aaron,592450,397,11.6,38.5,119,95.8,98.5,93.3,455,186,402,230,20.4,57.9,70,17.6,11.1
Harper, Bryce,547180,360,13.3,38.9,116.3,92.5,97.6,86.5,468,192,410,179,15.8,49.7,65,18.1,10.9
Hoskins, Rhys,656555,283,21.7,36.7,112.2,91.2,95.8,85.3,441,205,407,131,15.7,46.3,48,17,10.8
Guerrero Jr., Vladimir,665489,496,9.4,33.7,117.4,95.1,98.5,93.4,465,173,409,274,23.1,55.2,75,15.1,10.7
Pinder, Chad,640461,153,7.4,36.6,112.2,92.6,98.7,87.1,462,161,412,83,18.7,54.2,25,16.3,10.7
O'Neill, Tyler,641933,318,17.8,39.9,113.1,93,98.2,86.3,463,193,414,166,16.1,52.2,57,17.9,10.6
Alvarez, Yordan,670541,395,14.1,37.2,116.4,93.2,97.4,88.5,456,194,408,214,20.8,54.2,63,15.9,10.5
Votto, Joey,458015,325,18.2,44.3,114.1,92.9,96.9,86.1,466,208,403,173,17.7,53.2,56,17.2,10.5
Muncy, Max,571970,378,15.2,34.9,112.3,91.2,97.3,83.6,466,192,411,176,19.2,46.6,61,16.1,10.3
Devers, Rafael,646240,452,13.1,35.2,114.4,92.9,97.3,90.3,457,177,414,234,17.5,51.8,68,15,10.2
Alonso, Pete,624413,438,14.7,34.5,118.4,91,95.5,88,453,184,407,207,18.3,47.3,65,14.8,10.2
Schwarber, Kyle,656941,274,15.4,36.9,116.6,92.3,97.3,86.5,463,187,414,143,17.4,52.2,48,17.5,10.2
Belt, Brandon,474832,223,23,35.9,109.9,89.2,94.2,79.3,452,214,399,100,13.4,44.8,38,17,10
Renfroe, Hunter,592669,397,15.6,32.7,116.4,90.1,96.3,85.6,456,178,413,176,16.7,44.3,57,14.4,10
Higashioka, Kyle,543309,135,21.7,37.8,109.5,90.5,96.8,77.7,427,208,406,64,16.8,47.4,21,15.6,10
Springer, George,543807,221,19,37.1,116.4,89.4,95.4,84.5,470,191,403,92,15.1,41.6,34,15.4,9.9
Duvall, Adam,594807,342,23.6,33.3,113.8,89.8,94.9,83.3,483,198,414,150,13.9,43.9,55,16.1,9.9
Garver, Mitch,641598,138,19,38.4,111.8,92.3,98,86.3,436,205,408,74,18.5,53.6,24,17.4,9.9
Reyes, Franmil,614177,272,9.7,31.3,114.9,92,97.9,87.8,452,166,414,132,14.6,48.5,46,16.9,9.9
Machado, Manny,592518,473,14,33.8,119.6,93.1,96.8,91.5,453,179,401,247,23,52.2,63,13.3,9.8
Stanton, Giancarlo,519317,356,10.3,32.6,122.2,95.1,99.3,93.3,472,169,414,198,18.5,55.6,56,15.7,9.7
Sanó, Miguel,593934,288,17.6,32.3,117.1,93.4,99.4,87.3,495,186,414,161,16.4,55.9,51,17.7,9.6
Goldschmidt, Paul,502671,472,17.1,36.9,112.2,92.6,96.6,88.7,470,189,416,239,19.7,50.6,64,13.6,9.4
Hernández, Teoscar,606192,404,13.1,37.4,115.7,91.8,96.3,86.7,464,183,405,198,16.7,49,56,13.9,9.4
Cruz, Nelson,443558,396,11.8,31.8,117.5,92.9,97.6,90.4,457,170,410,208,18.5,52.5,54,13.6,9.2
Voit, Luke,572228,139,15.9,35.3,110.9,90.7,96.7,84,437,188,398,72,14.4,51.8,22,15.8,9.1
Robert, Luis,673357,216,13.8,39.4,117.7,91.2,96.3,85.3,452,186,414,96,16.2,44.4,27,12.5,9.1
Kirilloff, Alex,666135,164,7,39,108.4,91,96.2,86.1,433,166,421,72,15.8,43.9,21,12.8,9.1
Bradley, Bobby,656252,149,12,37.6,114.2,89,96.3,82.2,432,183,404,61,11.7,40.9,25,16.8,9
Suárez, Eugenio,553993,339,18.3,33,111.9,89.1,93.9,84.7,452,191,406,135,13.2,39.8,51,15,8.9
Seager, Corey,608369,290,10.7,36.6,115.3,91,97.3,85.7,464,173,404,143,19.2,49.3,36,12.4,8.8
Brown, Seth,664913,194,20.9,33.5,113.7,88.9,95.3,83,472,195,400,78,14.3,40.2,27,13.9,8.8
Olson, Matt,621566,463,16.2,32.4,115.3,91.6,96.1,88.7,445,180,401,226,17.4,48.8,59,12.7,8.8
Tucker, Kyle,663656,421,17.6,42,111.1,91.4,94.3,88.8,459,203,393,200,17.5,47.5,49,11.6,8.6
Riley, Austin,663586,430,14.2,36.5,114.2,90.1,95,84.8,449,179,403,196,15.1,45.6,57,13.3,8.6
Gallo, Joey,608336,286,22.7,29.4,115.1,91.5,98,84.7,462,198,408,130,12.4,45.5,53,18.5,8.6
Longoria, Evan,446334,187,15.5,34.2,113.2,94.1,97,91.9,444,185,396,102,20.9,54.5,25,13.4,8.6
Kirk, Alejandro,672386,145,14.7,31,109.4,92.3,94.8,90.2,435,172,391,68,20.2,46.9,16,11,8.5
Lowe, Brandon,664040,371,16.9,37.2,111.2,89.3,93.8,83.8,441,196,398,160,13.1,43.1,52,14,8.5
Soto, Juan,665742,414,5.8,29.7,116.6,93,98.1,89.4,454,149,399,218,23.9,52.7,55,13.3,8.4
Haase, Eric,606992,234,16,35.9,113.2,90.9,95.7,86.9,442,184,402,112,15.1,47.9,32,13.7,8.4
Haniger, Mitch,571745,459,14.8,33.6,110,89.3,94.2,85.2,438,173,401,207,16,45.1,58,12.6,8.4
Martinez, J.D.,502110,425,16.9,41.2,113.2,92.1,95.3,88.1,444,196,398,210,16.1,49.4,53,12.5,8.4
Tellez, Rowdy,642133,233,13.4,35.6,114.8,92.2,96.6,89.2,454,173,415,112,18.2,48.1,27,11.6,8.3
Seager, Kyle,572122,446,19.5,35.7,111,89,94.1,82.4,446,199,401,179,14.2,40.1,55,12.3,8.2
Freeman, Freddie,518692,495,12,37.2,113.6,91.4,95.4,87.4,446,179,407,228,16.6,46.1,57,11.5,8.2
Sánchez, Gary,596142,262,20.5,34.4,113.4,89.5,95.1,83.8,446,181,406,110,13.5,42,36,13.7,8.2
Ramírez, José,608070,470,18.3,33.4,112.6,90,94.7,88.1,429,182,388,199,17.3,42.3,52,11.1,8.2
García, Avisaíl,541645,345,9.3,35.9,116.7,90.4,95.2,87.1,464,166,407,160,15.7,46.4,42,12.2,8.2
Pollock, AJ,572041,306,12,35,111.2,90.3,95.5,84.8,430,178,405,145,18.8,47.4,34,11.1,8.1
Winker, Jesse,608385,348,10.8,38.2,113.4,90.6,95.6,86.9,456,172,406,164,19.3,47.1,39,11.2,8
Crawford, Brandon,543063,383,14.7,35.8,109.8,88.8,94.7,83.5,444,180,398,166,15.1,43.3,44,11.5,8
Ruf, Darin,573131,176,9.8,41.5,110.8,93,97.2,89.1,439,180,403,96,18.3,54.5,25,14.2,8
Wisdom, Patrick,621550,185,19.1,39.5,114.2,91.2,96.2,83.8,453,205,409,96,11.8,51.9,30,16.2,8
Hilliard, Sam,656541,127,12,32.3,113.5,89.8,95.9,86.3,465,174,424,49,10.5,38.6,19,15,8
Ramos, Wilson,467092,116,6.6,30.2,111.5,89.6,95.5,87,443,142,391,51,16.8,44,13,11.2,8
Soler, Jorge,624585,379,15.7,30.9,117.9,91.2,95.8,88.2,465,178,423,178,16.5,47,48,12.7,8
Báez, Javier,595879,321,10.6,32.7,116.7,90.1,95.8,86.6,455,159,403,145,12.4,45.2,43,13.4,7.9
Jeffers, Ryan,680777,159,14,35.8,111.2,89.2,94.2,86.1,441,176,410,70,12.6,44,23,14.5,7.8
Mountcastle, Ryan,663624,380,16.3,38.9,114.6,89.1,92.5,84.9,447,190,396,151,11.9,39.7,45,11.8,7.7
Sánchez, Jesús,660821,150,8.7,38,113.9,90.2,95.3,84.9,460,166,417,64,13,42.7,19,12.7,7.6
Castellanos, Nick,592206,416,14,44,111.9,89.8,94.9,83,446,191,399,195,16.6,46.9,44,10.6,7.5
Swanson, Dansby,621020,429,14.1,36.8,109.6,89.3,94.4,83.8,440,178,402,183,14.8,42.7,49,11.4,7.5
Cron, C.J.,543068,357,15.8,31.9,114.7,88.8,92.5,86.6,465,184,419,150,14.5,42,41,11.5,7.5
Vaughn, Andrew,683734,321,9.7,33.6,115,91.1,94.5,88.2,447,170,408,151,18.4,47,35,10.9,7.5
Polanco, Jorge,593871,476,19.3,36.1,109.9,89.4,93.5,83.1,435,192,399,178,14.5,37.4,48,10.1,7.5
Chapman, Matt,656305,336,18.6,32.1,113.3,89.7,94,86,431,188,409,140,11.7,41.7,46,13.7,7.4
Jiménez, Eloy,650391,157,8.4,29.9,112,90.5,95.5,87.4,459,147,413,70,16.8,44.6,17,10.8,7.4
Aquino, Aristides,606157,101,22.9,31.7,113.5,89,94.3,85.2,442,188,406,40,10.6,39.6,15,14.9,7.4
Walsh, Jared,665120,381,7.8,33.6,114.8,89.6,94,86.8,437,155,402,157,14.2,41.2,43,11.3,7.4
Kepler, Max,596146,334,16.3,35.3,110.8,89.8,93,88.6,422,182,395,142,16.9,42.5,36,10.8,7.3
Bichette, Bo,666182,507,7.3,33.5,115.5,91.4,94.6,90,468,154,401,241,16,47.5,50,9.9,7.2
García, Adolis,666969,391,14.7,29.4,112.4,91,96.3,85.7,450,176,398,178,13.1,45.5,45,11.5,7.2
Piña, Manny,444489,143,18.8,32.2,109.9,86.5,93.5,80,426,183,400,46,13.4,32.2,15,10.5,7.2
Gurriel Jr., Lourdes,666971,405,10.5,35.8,110.7,89.7,94.3,86.3,460,167,399,174,16.5,43,39,9.6,7.2
Grandal, Yasmani,518735,203,14.2,32.5,112,93.1,98.3,89.2,457,180,404,108,20.3,53.2,27,13.3,7.2
Miller, Brad,543543,219,12.9,31.1,113.9,92.4,96,90,443,167,401,105,15,47.9,27,12.3,7.2
Murphy, Sean,669221,282,15.6,31.9,112.8,89.2,93.5,87,454,174,411,120,14.9,42.6,32,11.3,7.1
Reynolds, Bryan,668804,444,13.4,39.9,112.7,89.4,93.8,84,454,183,410,181,14.9,40.8,46,10.4,7.1
Pujols, Albert,405395,232,12,29.3,112.9,90.3,93.9,88.5,446,159,402,92,17.4,39.7,21,9.1,7.1
Wade Jr., LaMonte,664774,254,19.8,37.8,109.3,90.1,92.7,88.4,430,194,397,106,14.8,41.7,27,10.6,7.1
Naquin, Tyler,571980,308,9.6,31.5,113.5,89.8,93.3,87.6,459,158,410,128,12.7,41.6,32,10.4,7
Rooker, Brent,667670,119,13.1,37.8,111.7,91,94.9,85,460,193,420,58,14.9,48.7,15,12.6,7
Adames, Willy,642715,342,16.8,35.1,112.5,89.5,94.4,83,446,190,397,153,14.1,44.7,39,11.4,7
Smith, Will,669257,324,19.4,38,108.6,90.1,93.8,84.5,444,206,396,142,16.3,43.8,35,10.8,7
Mancini, Trey,641820,414,9.7,36,113.9,88.9,93.8,86,455,160,409,174,15,42,43,10.4,7
Zimmerman, Ryan,475582,180,7.4,32.2,111.5,91.3,96,88.8,442,154,406,86,16.8,47.8,19,10.6,7
Upton, Justin,457708,214,15.6,30.4,116.5,90.1,93.9,87.7,436,173,401,89,13,41.6,25,11.7,6.9
Semien, Marcus,543760,509,20.3,35.2,109.5,89.7,93.9,84.3,439,201,388,210,15.9,41.3,50,9.8,6.9
Torrens, Luis,620443,250,6.1,34.4,109.2,90.9,95,87.9,432,155,391,108,15.3,43.2,26,10.4,6.9
Laureano, Ramón,657656,244,11.9,37.7,112.1,87.9,94,82.7,432,168,407,98,13.5,40.2,26,10.7,6.9
Albies, Ozzie,645277,508,21.1,37,111.4,89.6,92.3,86.3,439,201,401,189,12.8,37.2,47,9.3,6.9
Bogaerts, Xander,593428,423,12.5,36.4,113.6,89.6,93.7,86.4,446,170,402,182,15.9,43,41,9.7,6.8
Ward, Taylor,621493,156,16.4,39.1,110,89.6,93.4,86,424,190,407,62,15.1,39.7,16,10.3,6.8
Ozuna, Marcell,542303,142,14.5,35.2,114.3,89.7,93,86.4,479,188,423,58,15.8,40.8,14,9.9,6.7
Dickerson, Alex,543105,207,17,35.7,112.8,87.4,92.7,83.2,437,178,392,80,12.9,38.6,21,10.1,6.7
Bote, David,623520,222,9.8,27.5,115.6,89.9,93.9,87.6,423,159,401,97,16.6,43.7,22,9.9,6.7
DeJong, Paul,657557,255,16.4,33.3,109.5,86.3,93.5,79,431,184,399,90,11.4,35.3,27,10.6,6.7
Sheets, Gavin,657757,121,11.7,30.6,112.8,90.4,93.9,89.6,447,158,412,54,14.4,44.6,12,9.9,6.7
Benintendi, Andrew,643217,403,15.4,38.5,107.6,89.6,93.9,83.8,420,190,391,174,16.4,43.2,36,8.9,6.7
Marte, Ketel,606466,281,10.3,33.5,116,91.1,95.1,90,457,164,410,136,21,48.4,25,8.9,6.7
Abreu, José,547989,433,10.4,31.2,115.6,92,95.3,90,458,163,402,213,16.9,49.2,44,10.2,6.7
Peters, DJ,656847,144,16.4,30.6,112.5,87.5,94.9,81.5,460,185,416,56,11,38.9,16,11.1,6.7
Bryant, Kris,592178,380,15.1,37.1,110.4,88.2,92.8,82.8,434,181,391,152,14,40,39,10.3,6.7
Pederson, Joc,592626,317,14.1,31.2,113.6,91,96.3,86.4,435,177,408,151,16.2,47.6,32,10.1,6.7
Davis, J.D.,605204,113,13.2,37.2,111.9,89.7,92.7,88.2,432,168,406,48,10.8,42.5,14,12.4,6.6
Joe, Connor,656582,141,14.6,39.7,113.3,88.2,92.8,84.9,441,189,400,55,16.1,39,14,9.9,6.6
Hays, Austin,669720,385,12.5,32.2,110.3,88.8,92.9,85.8,421,167,391,151,16.7,39.2,35,9.1,6.6
Yastrzemski, Mike,573262,341,19.4,33.1,109.4,89.5,93.5,84.4,451,195,401,134,14,39.3,35,10.3,6.6
Correa, Carlos,621043,445,12.1,33.5,116.4,90.2,94,88.5,442,167,386,190,17.3,42.7,42,9.4,6.6
Story, Trevor,596115,392,17.5,34.2,111,90.6,94.1,87.5,475,189,419,167,13.7,42.6,39,9.9,6.6
Contreras, William,661388,110,8.2,28.2,114.2,92.5,95.8,89.4,463,165,413,49,13.5,44.5,12,10.9,6.5
Lowrie, Jed,476704,353,16.4,36.5,109.9,90.7,94,87.7,433,189,398,162,17.1,45.9,33,9.3,6.4
Contreras, Willson,575929,279,9.6,30.1,115.4,91.8,96,89.6,464,157,410,135,15.3,48.4,31,11.1,6.4
Cooper, Garrett,643265,148,8.2,36.5,114,91.1,94.4,89,443,153,401,78,17,52.7,16,10.8,6.4
Gomes, Yan,543228,272,14.1,39.3,107.7,89.6,94.2,86,429,180,398,104,15.2,38.2,24,8.8,6.4
Happ, Ian,664023,312,9.9,30.8,112.1,89.5,93.8,85.6,451,162,402,129,13.1,41.3,34,10.9,6.4
Moreland, Mitch,519048,174,12.9,31.6,112.2,91,94.9,87.7,444,171,390,83,17.7,47.7,16,9.2,6.3
Escobar, Eduardo,500871,426,20.8,38,110.8,87,91.8,82.2,453,191,407,147,12.4,34.5,38,8.9,6.3
Stassi, Max,545358,182,11,35.2,109.5,89.9,95.1,84.6,440,167,397,77,13.7,42.3,20,11,6.3
Pham, Tommy,502054,351,7.6,35.6,112.7,90.8,96.1,86.7,486,160,402,167,18.4,47.6,35,10,6.2
Grichuk, Randal,545341,401,16.1,30.4,113.8,89.8,93.5,88.6,459,169,403,165,15.7,41.1,34,8.5,6.2
Schwindel, Frank,643524,201,12.6,32.8,112.5,86.9,91.5,83.9,450,167,401,80,16.7,39.8,16,8,6.2
Bell, Josh,605137,400,4.9,28.5,115.8,92.5,96.5,90.3,448,145,411,208,20.4,52,35,8.8,6.2
Marsh, Brandon,669016,147,7.9,44.2,112.7,92.1,96.4,87,401,170,390,76,15.7,51.7,16,10.9,6.2
Urías, Luis,649966,378,14.2,34.9,111.5,87.9,93.4,84.8,427,167,397,153,14.5,40.5,35,9.3,6.1
Kelenic, Jarred,672284,232,14.4,33.2,110.9,87.5,92.7,83.8,435,173,402,91,13,39.2,23,9.9,6.1
Urías, Ramón,602104,186,5.2,34.4,112.7,89.6,94,87,424,149,395,79,14.4,42.5,18,9.7,6.1
Aguilar, Jesús,542583,363,19,34.7,110.6,89.6,92.5,87.4,444,194,399,149,16.1,41,31,8.5,6.1
Candelario, Jeimer,600869,422,12.6,38.6,111,88.7,91.7,85.9,436,173,396,165,13.6,39.1,38,9,6.1
Carpenter, Matt,572761,131,21.1,45,106.9,90,93.5,83.8,398,217,391,55,12.6,42,15,11.5,6
India, Jonathan,663697,396,13.1,33.6,110.2,87.6,93,83.4,451,166,407,153,14.9,38.6,38,9.6,6
Polanco, Gregory,570256,240,15.9,32.5,116.2,89.9,95.8,86.1,428,180,408,116,15.6,48.3,23,9.6,6
Taylor, Chris,621035,344,17.4,38.1,110.7,88.2,92.7,82.8,443,186,404,131,12.1,38.1,35,10.2,6
McCormick, Chas,676801,187,18.6,35.8,108.2,90.3,94.4,84.5,438,199,391,92,15.4,49.2,19,10.2,5.9
Santander, Anthony,623993,310,18,34.5,112.8,90.7,94.2,90,443,182,406,135,14.5,43.5,26,8.4,5.9
Díaz, Elias,553869,279,14.7,30.1,109.5,87.1,91.4,85.3,451,170,404,105,15.6,37.6,22,7.9,5.9
Meadows, Austin,640457,404,21.7,36.1,110.3,89.3,91.9,87.4,443,202,394,153,13.9,37.9,35,8.7,5.9
Lowe, Nathaniel,663993,398,5,31.4,113.9,90.8,93,89.4,465,148,413,181,15.1,45.5,38,9.5,5.9
Reyes, Victor,622682,157,6.6,37.6,109.8,89.5,92.2,87.6,429,156,376,55,11.6,35,13,8.3,5.9
Marte, Starling,516782,371,4.6,32.6,112.9,87.6,93.4,84.5,436,140,418,147,15.3,39.6,31,8.4,5.9
Ibáñez, Andy,628451,220,15.5,35.5,108.1,88.8,91.4,86.8,416,177,394,85,17.8,38.6,16,7.3,5.9
Slater, Austin,596103,190,7.8,37.4,109.9,87.1,93.3,81.6,467,154,409,79,14.7,41.6,18,9.5,5.9
Jansen, Danny,643376,141,20.5,34.8,111.2,90,95.4,84.5,448,184,400,63,16.1,44.7,12,8.5,5.9
Piscotty, Stephen,572039,125,17.5,32.8,109.7,86.1,92,81.8,415,169,405,46,12.6,36.8,11,8.8,5.9
Goodrum, Niko,592348,185,13.4,37.8,109.2,88,93.6,81,432,178,404,74,11.4,40,19,10.3,5.8
Conforto, Michael,624424,304,13.2,32.9,111.3,88.5,93.5,84.4,469,167,408,120,13.7,39.5,28,9.2,5.8
Hernández, Enrique,571771,405,17.9,36.5,111.3,90.8,93.7,88.1,434,192,393,175,17.3,43.2,34,8.4,5.8
Anderson, Tim,641313,409,4.3,32.5,110.2,89.6,94.8,86.3,417,142,389,171,14.7,41.8,32,7.8,5.8
Mullins, Cedric,656775,482,14.8,35.7,109.7,89.4,92.4,88.7,440,175,397,190,16.3,39.4,39,8.1,5.8
Lindor, Francisco,596019,365,14.4,35.6,112.9,90.7,94,88.3,436,177,396,161,16.3,44.1,30,8.2,5.7
Chisholm Jr., Jazz,665862,324,9,29,112.1,90.2,94.7,87,446,155,405,136,14.2,42,29,9,5.7
Turner, Justin,457759,441,19.2,36.5,109.8,90.9,93.3,89,425,193,394,187,17.1,42.4,35,7.9,5.7
Cabrera, Miguel,408234,363,10,32.8,112.6,91.4,95.9,88.1,445,163,394,178,17.7,49,30,8.3,5.7
Luplow, Jordan,656669,106,23.1,28.3,109.4,86.8,93.1,81.1,432,195,392,34,9,32.1,11,10.4,5.7
Urshela, Gio,570482,312,7.5,36.2,110.4,88.9,93.2,85.4,453,158,398,131,14.3,42,25,8,5.7
Baddoo, Akil,668731,294,13.8,37.4,111.8,86,91.1,80.9,450,175,385,95,11,32.3,26,8.8,5.6
Collins, Zack,641470,127,20.9,40.9,109.9,91.1,94.2,87.7,430,200,405,56,13.7,44.1,13,10.2,5.6
Naylor, Josh,647304,188,9,31.4,114.7,89.8,94.7,88,435,145,399,80,17.4,42.6,14,7.4,5.6
Shaw, Travis,543768,155,19.9,31.6,111.7,87.7,94,83,449,185,402,60,12.4,38.7,14,9,5.6
Toro, Abraham,647351,283,13.7,29.7,109,86.8,90.1,84.1,430,173,382,96,13.3,33.9,21,7.4,5.6
Realmuto, J.T.,592663,349,11.5,31.2,111.2,89.6,94.3,85.9,433,161,382,156,15,44.7,30,8.6,5.6
McCutchen, Andrew,457705,357,14.6,33.6,110.8,88.8,93.4,83.9,445,176,402,141,14.7,39.5,32,9,5.6
Turner, Trea,607208,489,11.4,34.6,112.2,89.6,92.6,88.1,443,160,406,226,18.5,46.2,36,7.4,5.6
Kelly, Carson,608348,235,18.6,37.9,109.2,88.2,92.2,84.1,438,193,396,80,12.9,34,20,8.5,5.6
Rizzo, Anthony,519203,414,14.8,31.4,115.2,90.1,93.1,88.1,449,170,401,170,16.4,41.1,32,7.7,5.6
Odor, Rougned,596059,223,19.6,29.6,112.1,89.1,94.3,84.2,443,174,398,84,12.4,37.7,20,9,5.5
Dozier, Hunter,641531,339,15.8,33,113,89.9,94.1,87.3,434,184,406,143,14.1,42.2,30,8.8,5.5
Solano, Donovan,456781,254,11,39.8,108.1,88.3,92,84.1,410,178,390,93,14.2,36.6,19,7.5,5.5
O'Hearn, Ryan,656811,168,14.3,33.3,110.6,90.8,94.4,87.1,431,176,397,76,15.3,45.2,14,8.3,5.5
Posey, Buster,457763,310,8.7,38.4,109.2,88.5,93.8,83.4,428,161,387,122,15.6,39.4,25,8.1,5.5
Frazier, Clint,640449,118,13.9,28.8,111.5,86.9,94.2,83.3,418,153,379,49,13.6,41.5,12,10.2,5.5
Phillips, Brett,621433,144,17.8,31.9,106.6,89.6,94.7,81.8,428,201,396,65,12.6,45.1,16,11.1,5.5
Verdugo, Alex,657077,453,7.7,34.9,110.8,90,94.6,87.2,446,151,402,196,18.7,43.3,33,7.3,5.5
Betts, Mookie,605141,385,18.9,34,107.9,90.3,93.3,87.1,427,187,396,158,17.5,41,30,7.8,5.5
Cronenworth, Jake,630105,483,12.5,35.8,110.8,88.6,92.2,86.5,445,168,398,169,16.2,35,35,7.2,5.4
Rojas, Jose,670351,118,19,32.2,111,90.7,95,86.9,437,183,407,52,15.6,44.1,10,8.5,5.4
Torres, Gleyber,650402,361,14.2,37.1,111.6,87.1,92,82.1,425,171,389,129,13.3,35.7,28,7.8,5.4
Stewart, DJ,621466,181,19.7,29.3,110.6,87.8,92.4,86.5,437,177,398,62,10,34.3,17,9.4,5.3
Mercedes, Yermín,606213,195,15.8,35.4,116.8,87.3,91.7,83.9,485,168,439,57,9.7,29.2,14,7.2,5.3
Moran, Colin,592567,234,7.2,34.2,110.2,89.1,93.5,85.6,432,152,392,87,12.8,37.2,19,8.1,5.3
Choi, Ji-Man,596847,171,14.8,38.6,112.9,91.3,95.5,88.1,437,175,400,80,14.8,46.8,16,9.4,5.2
d'Arnaud, Travis,518595,157,5.9,33.8,110.2,89.9,94,85.8,423,162,391,69,15.2,43.9,12,7.6,5.2
McKinstry, Zach,656716,111,13.7,36,106.2,88.4,92.9,83.7,409,184,384,39,12,35.1,9,8.1,5.2
Arenado, Nolan,571448,504,20,34.1,110.6,89,92.1,87.4,408,190,387,189,16.5,37.5,34,6.7,5.2
Martin, Jason,641829,105,11.4,33.3,108.1,87.5,93.2,82.9,421,154,401,35,11.7,33.3,8,7.6,5.2
Pillar, Kevin,607680,245,20.2,34.7,110.5,85.8,91.3,83.1,418,182,393,78,11.3,31.8,18,7.3,5.2
Taylor, Tyrone,621438,185,16,29.7,110.8,88.6,91.4,89.1,440,167,405,69,13.4,37.3,14,7.6,5.2
Blackmon, Charlie,453568,426,10.2,32.6,109.8,87.6,92.7,84.4,444,158,410,164,16.2,38.5,30,7,5.2
Alfaro, Jorge,595751,196,1.8,27.6,115.7,90.9,96.7,86.9,432,134,413,96,14.7,49,16,8.2,5.1
