last_name, first_name,player_id,year,p_game,p_formatted_ip,p_k_percent,p_bb_percent,hard_hit_percent,pitch_count,whiff_percent,
Wainwright, Adam,425794,2021,32,206.1,21.0,6.0,35.6,3068,19.7,
Greinke, Zack,425844,2021,30,171.0,17.2,5.2,35.4,2577,21.8,
Morton, Charlie,450203,2021,33,185.2,28.6,7.7,32.5,2987,28.9,
Scherzer, Max,453286,2021,30,179.1,34.1,5.2,34.3,2821,34.1,
Miley, Wade,489119,2021,28,163.0,18.1,7.2,34.2,2592,23.7,
Gibson, Kyle,502043,2021,31,182.0,20.6,8.5,39.1,2881,24.9,
Darvish, Yu,506433,2021,30,166.1,29.2,6.5,34.9,2769,27.3,
Anderson, Tyler,542881,2021,31,167.0,19.1,5.4,33,2602,23.1,
Cole, Gerrit,543037,2021,30,181.1,33.5,5.6,38.6,2969,31.9,
DeSclafani, Anthony,543101,2021,31,167.2,22.5,6.2,38.8,2558,24,
Eovaldi, Nathan,543135,2021,32,182.1,25.5,4.6,36.4,2927,25.9,
Hendricks, Kyle,543294,2021,32,181.0,16.7,5.6,33,2809,20.1,
Lyles, Jordan,543475,2021,32,180.0,19.0,7.3,41.6,2964,23.5,
Ryu, Hyun Jin,547943,2021,31,169.0,20.4,5.3,41.6,2689,22.6,
Wheeler, Zack,554430,2021,32,213.1,29.1,5.4,28.5,3205,26.5,
Corbin, Patrick,571578,2021,31,171.2,19.0,8.0,41.2,2750,24.8,
Keuchel, Dallas,572971,2021,32,162.0,13.2,8.2,39.8,2726,21,
Stroman, Marcus,573186,2021,33,179.0,21.6,6.0,42,2741,26.7,
Gausman, Kevin,592332,2021,33,192.0,29.3,6.5,40.9,3002,31.3,
Ray, Robbie,592662,2021,32,193.1,32.1,6.7,43.1,3141,32.3,
Montas, Frankie,593423,2021,32,187.0,26.6,7.3,42.3,3028,29.6,
Musgrove, Joe,605397,2021,32,181.1,27.1,7.2,38.5,2938,29.3,
Nola, Aaron,605400,2021,32,180.2,29.8,5.2,37.4,2971,27.9,
Woodruff, Brandon,605540,2021,30,179.1,29.8,6.1,32.7,2810,28.2,
Fried, Max,608331,2021,28,165.2,23.7,6.1,34.3,2558,24.3,
Giolito, Lucas,608337,2021,31,178.2,27.9,7.2,34.2,2970,32.2,
Irvin, Cole,608344,2021,32,178.1,16.3,5.5,39.3,2682,19.2,
Marquez, German,608566,2021,32,180.0,23.3,8.5,39.3,2788,27,
Buehler, Walker,621111,2021,33,207.2,26.0,6.4,37.1,3152,26.3,
McCullers Jr., Lance,621121,2021,28,162.1,27.0,11.1,40.7,2788,30.2,
Berrios, Jose,621244,2021,32,192.0,26.1,5.8,38.3,3043,23.7,
Castillo, Luis,622491,2021,33,187.2,23.9,9.3,36.9,3164,28.7,
Flexen, Chris,623167,2021,31,179.2,16.9,5.4,38.1,2811,19.2,
Urias, Julio,628711,2021,32,185.2,26.2,5.1,30.3,2786,24.1,
Manaea, Sean,640455,2021,32,179.1,25.7,5.4,41.2,2980,27.1,
Mahle, Tyler,641816,2021,33,180.0,27.7,8.4,34.3,3196,28.4,
Alcantara, Sandy,645261,2021,33,205.2,24.0,6.0,39.4,3095,27.3,
Cease, Dylan,656302,2021,32,165.2,31.9,9.6,38.8,2957,34.6,
Burnes, Corbin,669203,2021,28,167.0,35.6,5.2,30.5,2594,36.5,