,player_name,xwoba,xba,xslg,xiso,xobp,brl,brl_percent,exit_velocity,hard_hit_percent,k_percent,bb_percent,whiff_percent,xera,fb_velocity,fb_spin,curve_spin,rating
120,Tylor Megill,0.61,0.72,0.43,0.23,0.83,0.31,0.14,0.29,0.25,0.66,0.69,0.47,0.61,0.72,0.3,0.16,7.42
121,Nabil Crismatt,0.5,0.35,0.51,0.65,0.42,0.5,0.62,0.48,0.82,0.26,0.72,0.47,0.5,0.11,0.24,0.23,7.38
122,Anthony DeSclafani,0.58,0.46,0.44,0.4,0.75,0.07,0.45,0.48,0.48,0.42,0.8,0.33,0.58,0.64,0.39,0.04,7.31
123,Marcus Stroman,0.42,0.21,0.36,0.52,0.51,0.13,0.68,0.41,0.25,0.35,0.84,0.54,0.42,0.24,0.79,0.61,7.28
124,Kyle Freeland,0.47,0.39,0.4,0.42,0.59,0.22,0.43,0.57,0.75,0.27,0.63,0.16,0.47,0.23,0.81,0.47,7.28
125,Trevor Richards,0.63,0.76,0.41,0.21,0.8,0.5,0.06,0.15,0.04,0.9,0.42,0.88,0.63,0.4,0.36,0.07,7.22
126,Adrian Houser,0.5,0.48,0.74,0.86,0.25,0.4,0.89,0.83,0.69,0.12,0.2,0.04,0.5,0.57,0.14,0.01,7.22
127,Tyler Anderson,0.43,0.23,0.32,0.4,0.66,0.03,0.38,0.84,0.88,0.19,0.89,0.26,0.43,0.04,0.76,0.48,7.22
128,Austin Gomber,0.51,0.51,0.44,0.37,0.6,0.19,0.21,0.68,0.85,0.48,0.47,0.47,0.51,0.25,0.08,0.6,7.22
129,Josiah Gray,0.33,0.75,0.21,0.03,0.59,0.32,0.03,0.6,0.68,0.59,0.2,0.78,0.33,0.72,0.52,0.46,7.14
130,Logan Gilbert,0.51,0.46,0.33,0.28,0.73,0.22,0.33,0.21,0.11,0.62,0.88,0.58,0.51,0.79,0.4,0.11,7.07
131,Carlos Carrasco,0.28,0.26,0.22,0.19,0.53,0.61,0.42,0.46,0.52,0.31,0.6,0.58,0.28,0.49,0.46,0.85,7.06
132,Cristian Javier,0.32,0.72,0.39,0.21,0.29,0.34,0.16,0.12,0.17,0.88,0.1,0.83,0.32,0.53,0.72,0.94,7.04
133,Mike Minor,0.38,0.42,0.24,0.13,0.7,0.04,0.22,0.56,0.7,0.39,0.81,0.36,0.38,0.17,0.97,0.57,7.04
134,JT Brubaker,0.3,0.32,0.27,0.26,0.44,0.17,0.33,0.48,0.49,0.54,0.71,0.61,0.3,0.47,0.45,0.88,7.02
135,Michael King,0.26,0.26,0.38,0.49,0.19,0.61,0.51,0.53,0.15,0.42,0.43,0.4,0.26,0.66,0.65,0.78,6.98
136,Chad Kuhl,0.25,0.46,0.45,0.45,0.12,0.54,0.58,0.54,0.62,0.34,0.12,0.57,0.25,0.67,0.17,0.79,6.92
137,Rich Hill,0.35,0.5,0.41,0.36,0.38,0.07,0.3,0.6,0.79,0.44,0.5,0.26,0.35,0.03,0.71,0.81,6.86
138,Adbert Alzolay,0.32,0.37,0.22,0.14,0.6,0.11,0.15,0.36,0.56,0.58,0.76,0.55,0.32,0.52,0.54,0.75,6.85
139,Bryan Shaw,0.33,0.35,0.48,0.6,0.21,0.54,0.59,0.51,0.53,0.32,0.15,0.45,0.33,0.43,0.84,0.15,6.81
140,José Ruiz,0.4,0.43,0.36,0.35,0.49,0.57,0.43,0.01,0.01,0.48,0.37,0.33,0.4,0.94,0.69,0.41,6.67
141,Shane McClanahan,0.31,0.21,0.28,0.36,0.42,0.11,0.1,0.02,0.06,0.75,0.67,0.85,0.31,0.89,0.53,0.76,6.63
142,Sean Doolittle,0.39,0.46,0.38,0.35,0.33,0.81,0.62,0.08,0.24,0.52,0.23,0.38,0.39,0.47,0.55,0.43,6.63
143,Chris Flexen,0.43,0.22,0.34,0.43,0.63,0.11,0.72,0.33,0.56,0.09,0.89,0.05,0.43,0.21,0.37,0.81,6.62
144,Ryan Helsley,0.27,0.39,0.41,0.42,0.13,0.76,0.42,0.08,0.17,0.46,0.07,0.6,0.27,0.62,0.94,0.59,6.6
145,Madison Bumgarner,0.39,0.42,0.3,0.27,0.6,0.16,0.53,0.51,0.52,0.26,0.78,0.17,0.39,0.04,0.73,0.52,6.59
146,Spencer Howard,0.28,0.37,0.47,0.58,0.13,0.76,0.53,0.64,0.74,0.44,0.13,0.43,0.28,0.47,0.28,0.03,6.56
147,Zack Greinke,0.39,0.18,0.31,0.45,0.6,0.11,0.68,0.6,0.74,0.11,0.92,0.18,0.39,0.07,0.45,0.36,6.54
148,Ross Detwiler,0.43,0.74,0.53,0.38,0.45,0.5,0.03,0.6,0.6,0.73,0.43,0.33,0.43,0.07,0.2,0.07,6.52
149,Merrill Kelly,0.34,0.15,0.3,0.47,0.41,0.19,0.72,0.46,0.41,0.21,0.81,0.11,0.34,0.24,0.67,0.66,6.49
150,Justin Dunn,0.2,0.61,0.34,0.19,0.13,0.72,0.33,0.35,0.59,0.42,0.06,0.39,0.2,0.57,0.76,0.58,6.44
151,Sean Manaea,0.48,0.37,0.36,0.4,0.68,0.06,0.47,0.18,0.29,0.64,0.89,0.58,0.48,0.32,0.06,0.05,6.31
152,Blake Snell,0.23,0.57,0.31,0.18,0.25,0.13,0.08,0.36,0.29,0.89,0.1,0.83,0.23,0.77,0.84,0.23,6.29
153,Aaron Civale,0.25,0.21,0.17,0.17,0.5,0.22,0.43,0.6,0.43,0.24,0.8,0.17,0.25,0.11,0.84,0.9,6.29
154,Ryan Yarbrough,0.35,0.15,0.27,0.43,0.53,0.07,0.5,0.99,0.98,0.14,0.97,0.16,0.35,0.01,0.1,0.25,6.25
155,Ian Anderson,0.4,0.48,0.41,0.37,0.44,0.13,0.2,0.6,0.49,0.48,0.28,0.69,0.4,0.72,0.1,0.02,6.21
156,Yusmeiro Petit,0.38,0.19,0.19,0.23,0.72,0.36,0.4,0.9,0.96,0.01,0.98,0.15,0.38,0.01,0.26,0.06,6.18
157,Trevor Williams,0.33,0.21,0.38,0.52,0.35,0.42,0.59,0.38,0.58,0.38,0.58,0.33,0.33,0.2,0.32,0.21,6.11
158,Griffin Canning,0.27,0.33,0.29,0.29,0.3,0.5,0.25,0.32,0.42,0.41,0.25,0.79,0.27,0.53,0.56,0.31,6.09
159,Bailey Ober,0.33,0.32,0.18,0.1,0.74,0.31,0.2,0.41,0.24,0.61,0.94,0.38,0.33,0.33,0.35,0.28,6.05
160,Luke Weaver,0.3,0.29,0.21,0.15,0.51,0.47,0.21,0.21,0.28,0.42,0.65,0.29,0.3,0.45,0.91,0.36,6.01
161,John Gant,0.18,0.24,0.51,0.71,0.01,0.47,0.83,0.24,0.52,0.17,0.02,0.33,0.18,0.11,0.92,0.53,5.97
162,Jack Flaherty,0.22,0.42,0.19,0.09,0.39,0.45,0.22,0.25,0.27,0.68,0.52,0.65,0.22,0.5,0.46,0.43,5.96
163,Matt Andriese,0.17,0.04,0.18,0.39,0.19,0.81,0.68,0.05,0.08,0.42,0.84,0.23,0.17,0.21,0.7,0.79,5.95
164,Johnny Cueto,0.21,0.11,0.22,0.36,0.31,0.34,0.71,0.57,0.57,0.25,0.81,0.23,0.21,0.27,0.43,0.34,5.94
165,Antonio Senzatela,0.4,0.14,0.4,0.67,0.44,0.19,0.79,0.15,0.2,0.05,0.95,0.07,0.4,0.72,0.19,0.13,5.89
166,Vladimir Gutierrez,0.32,0.32,0.36,0.4,0.33,0.22,0.4,0.48,0.49,0.12,0.35,0.27,0.32,0.49,0.32,0.67,5.86
167,Kyle Zimmer,0.25,0.59,0.46,0.38,0.2,0.61,0.2,0.41,0.56,0.28,0.04,0.39,0.25,0.66,0.51,0.05,5.84
168,Josh Tomlin,0.13,0.02,0.05,0.12,0.47,0.57,0.37,0.41,0.42,0.1,1,0.29,0.13,0.02,0.93,0.79,5.82
169,Triston McKenzie,0.37,0.61,0.43,0.3,0.36,0.24,0.18,0.17,0.23,0.77,0.14,0.65,0.37,0.32,0.53,0.13,5.8
170,Johan Oviedo,0.06,0.15,0.21,0.3,0.01,0.57,0.51,0.74,0.72,0.12,0.08,0.47,0.06,0.76,0.53,0.45,5.74
171,Kwang Hyun Kim,0.35,0.31,0.38,0.45,0.36,0.34,0.61,0.68,0.7,0.12,0.46,0.17,0.35,0.08,0.25,0.13,5.74
172,James Kaprielian,0.34,0.5,0.27,0.18,0.56,0.19,0.22,0.21,0.23,0.57,0.51,0.6,0.34,0.43,0.09,0.48,5.72
173,Jake Woodford,0.27,0.18,0.45,0.69,0.13,0.72,0.82,0.17,0.31,0.1,0.47,0.1,0.27,0.27,0.18,0.55,5.68
174,Alec Mills,0.25,0.1,0.32,0.6,0.21,0.45,0.9,0.6,0.43,0.09,0.76,0.03,0.25,0.07,0.31,0.3,5.67
175,Chris Paddack,0.27,0.14,0.18,0.27,0.53,0.24,0.37,0.13,0.2,0.35,0.95,0.37,0.27,0.75,0.42,0.16,5.6
176,Kyle Hendricks,0.21,0.12,0.19,0.33,0.31,0.01,0.4,0.92,0.88,0.08,0.88,0.1,0.21,0.02,0.01,0.91,5.58
177,Trent Thornton,0.16,0.24,0.16,0.12,0.29,0.5,0.04,0.15,0.03,0.55,0.63,0.31,0.16,0.36,0.86,0.98,5.54
178,Dylan Bundy,0.24,0.39,0.21,0.11,0.38,0.27,0.12,0.38,0.52,0.32,0.46,0.25,0.24,0.16,0.89,0.48,5.42
179,Wil Crowe,0.16,0.28,0.19,0.15,0.14,0.16,0.21,0.51,0.63,0.32,0.19,0.43,0.16,0.53,0.77,0.48,5.31
180,Josh Fleming,0.28,0.11,0.29,0.52,0.28,0.34,0.67,0.78,0.78,0.04,0.71,0.07,0.28,0.09,0.01,0.01,5.26
181,Taijuan Walker,0.31,0.4,0.25,0.19,0.5,0.03,0.14,0.41,0.42,0.39,0.47,0.28,0.31,0.67,0.13,0.36,5.26
182,Hyun Jin Ryu,0.35,0.19,0.27,0.35,0.61,0.04,0.38,0.32,0.26,0.27,0.91,0.22,0.35,0.05,0.04,0.6,5.21
183,Duane Underwood Jr.,0.18,0.12,0.25,0.43,0.12,0.5,0.52,0.36,0.19,0.27,0.47,0.32,0.18,0.6,0.27,0.4,5.18
184,Keegan Thompson,0.13,0.32,0.26,0.25,0.1,0.61,0.28,0.21,0.12,0.44,0.08,0.33,0.13,0.33,0.85,0.64,5.08
185,Jesús Luzardo,0.14,0.28,0.18,0.13,0.15,0.24,0.13,0.33,0.47,0.41,0.18,0.74,0.14,0.81,0.52,0.2,5.05
186,Hansel Robles,0.26,0.57,0.35,0.24,0.17,0.42,0.07,0.06,0.02,0.63,0.1,0.33,0.26,0.92,0.61,0.04,5.05
187,Austin Voth,0.04,0.05,0.04,0.08,0.03,0.47,0.06,0.54,0.28,0.52,0.16,0.42,0.04,0.52,0.79,0.96,5
188,Ross Stripling,0.2,0.27,0.15,0.09,0.49,0.19,0.13,0.22,0.35,0.36,0.7,0.35,0.2,0.28,0.35,0.61,4.94
189,Riley Smith,0.16,0.04,0.1,0.22,0.27,0.47,0.56,0.36,0.29,0.01,0.94,0.01,0.16,0.25,0.48,0.37,4.69
190,Garrett Richards,0.09,0.07,0.16,0.31,0.09,0.1,0.38,0.06,0.01,0.17,0.31,0.21,0.09,0.68,0.93,0.99,4.65
191,Brett de Geus,0.07,0.07,0.32,0.64,0.01,0.81,0.76,0.25,0.49,0.11,0.22,0.02,0.07,0.32,0.14,0.35,4.65
192,Matt Moore,0.22,0.32,0.26,0.25,0.16,0.42,0.36,0.33,0.56,0.18,0.15,0.18,0.22,0.29,0.57,0.17,4.64
193,Paolo Espino,0.22,0.15,0.09,0.09,0.55,0.07,0.05,0.32,0.16,0.26,0.89,0.08,0.22,0.07,0.44,0.96,4.62
194,Mitch Keller,0.08,0.04,0.22,0.45,0.03,0.36,0.63,0.03,0.02,0.22,0.22,0.1,0.08,0.6,0.75,0.71,4.54
195,Chase Anderson,0.08,0.22,0.08,0.06,0.17,0.61,0.3,0.98,0.72,0.06,0.35,0.29,0.08,0.1,0.36,0.06,4.52
196,Vince Velasquez,0.14,0.43,0.14,0.06,0.19,0.17,0.03,0.09,0.15,0.56,0.13,0.56,0.14,0.47,0.75,0.48,4.49
197,Jake Odorizzi,0.28,0.29,0.24,0.21,0.45,0.24,0.22,0.29,0.43,0.28,0.58,0.19,0.28,0.22,0.21,0.08,4.49
198,Dane Dunning,0.26,0.18,0.36,0.54,0.21,0.27,0.45,0.38,0.15,0.39,0.47,0.27,0.26,0.1,0.11,0.08,4.48
199,Casey Mize,0.21,0.29,0.16,0.11,0.42,0.04,0.14,0.41,0.36,0.2,0.73,0.22,0.21,0.56,0.22,0.17,4.45
200,Jon Lester,0.18,0.14,0.21,0.31,0.17,0.1,0.51,0.6,0.62,0.04,0.42,0.09,0.18,0.03,0.38,0.47,4.45
201,Jordan Lyles,0.12,0.13,0.1,0.11,0.25,0.01,0.28,0.24,0.26,0.18,0.65,0.29,0.12,0.35,0.59,0.72,4.4
202,Sam Hentges,0.09,0.15,0.11,0.11,0.14,0.4,0.19,0.41,0.2,0.33,0.25,0.33,0.09,0.68,0.29,0.58,4.35
203,Matt Harvey,0.12,0.04,0.12,0.26,0.2,0.11,0.48,0.33,0.31,0.06,0.78,0.04,0.12,0.49,0.29,0.57,4.32
204,José Quintana,0.2,0.29,0.28,0.3,0.13,0.4,0.04,0.12,0.06,0.81,0.13,0.72,0.2,0.25,0.11,0.21,4.25
205,Greg Holland,0.08,0.24,0.06,0.03,0.16,0.34,0.01,0.51,0.29,0.36,0.2,0.69,0.08,0.41,0.49,0.26,4.21
206,Kris Bubic,0.14,0.27,0.19,0.15,0.15,0.13,0.29,0.51,0.41,0.28,0.21,0.28,0.14,0.17,0.15,0.72,4.19
207,Zach Plesac,0.33,0.28,0.19,0.15,0.63,0.05,0.21,0.12,0.15,0.08,0.86,0.26,0.33,0.41,0.11,0.02,4.18
208,Cole Irvin,0.21,0.09,0.25,0.45,0.29,0.05,0.56,0.36,0.43,0.06,0.89,0.05,0.21,0.16,0.02,0.07,4.15
209,Eli Morgan,0.14,0.19,0.04,0.02,0.5,0.17,0.04,0.33,0.21,0.33,0.85,0.24,0.14,0.14,0.45,0.32,4.11
210,Drew Smyly,0.19,0.17,0.13,0.13,0.33,0.07,0.13,0.51,0.47,0.33,0.62,0.4,0.19,0.21,0.13,0.1,4.11
211,Marco Gonzales,0.19,0.26,0.08,0.04,0.45,0.02,0.06,0.66,0.64,0.16,0.67,0.11,0.19,0.03,0.27,0.26,4.09
212,Griffin Jax,0.08,0.33,0.03,0.01,0.4,0.16,0.02,0.09,0.13,0.15,0.52,0.16,0.08,0.38,0.66,0.82,4.02
213,Keegan Akin,0.14,0.19,0.15,0.12,0.22,0.24,0.19,0.25,0.19,0.19,0.34,0.18,0.14,0.29,0.71,0.43,3.97
214,Tarik Skubal,0.09,0.17,0.04,0.02,0.32,0.01,0.01,0.13,0.08,0.65,0.63,0.54,0.09,0.69,0.29,0.19,3.95
215,Erick Fedde,0.22,0.19,0.19,0.21,0.31,0.09,0.22,0.25,0.33,0.35,0.52,0.19,0.22,0.33,0.03,0.26,3.91
216,Martín Pérez,0.1,0.1,0.14,0.24,0.14,0.13,0.22,0.54,0.24,0.19,0.69,0.06,0.1,0.24,0.24,0.51,3.88
217,Wade LeBlanc,0.06,0.04,0.08,0.19,0.09,0.57,0.33,0.72,0.65,0.01,0.58,0.12,0.06,0.01,0.05,0.3,3.86
218,Bruce Zimmermann,0.03,0.03,0.02,0.03,0.1,0.42,0.16,0.06,0.1,0.22,0.58,0.45,0.03,0.23,0.68,0.69,3.83
219,Alex Young,0.05,0.08,0.09,0.17,0.03,0.54,0.25,0.18,0.38,0.12,0.18,0.55,0.05,0.06,0.62,0.33,3.68
220,Jorge López,0.12,0.13,0.24,0.36,0.07,0.11,0.22,0.29,0.15,0.26,0.25,0.13,0.12,0.79,0.05,0.38,3.67
221,Touki Toussaint,0.06,0.15,0.13,0.15,0.06,0.67,0.22,0.02,0.01,0.38,0.24,0.41,0.06,0.41,0.36,0.34,3.67
222,Mike Foltynewicz,0.13,0.18,0.07,0.06,0.36,0.06,0.25,0.25,0.18,0.07,0.81,0.03,0.13,0.53,0.25,0.29,3.65
223,Kolby Allard,0.18,0.17,0.09,0.08,0.49,0.06,0.1,0.25,0.47,0.21,0.85,0.08,0.18,0.1,0.28,0.02,3.61
224,Michael Wacha,0.11,0.08,0.06,0.08,0.3,0.07,0.11,0.24,0.18,0.46,0.84,0.26,0.11,0.29,0.17,0.17,3.53
225,Adam Plutko,0.01,0.1,0.01,0.01,0.06,0.4,0.05,0.05,0.38,0.11,0.21,0.36,0.01,0.13,0.65,0.93,3.47
226,J.C. Mejía,0.04,0.07,0.08,0.16,0.04,0.61,0.38,0.06,0.06,0.24,0.25,0.14,0.04,0.4,0.24,0.6,3.41
227,Matt Manning,0.12,0.06,0.16,0.34,0.1,0.34,0.48,0.04,0.23,0.04,0.46,0.01,0.12,0.56,0.07,0.27,3.4
228,Bryse Wilson,0.08,0.07,0.05,0.08,0.24,0.31,0.15,0.46,0.2,0.03,0.72,0.05,0.08,0.43,0.08,0.31,3.34
229,Chi Chi González,0.01,0.01,0.01,0.04,0.04,0.17,0.3,0.18,0.09,0.01,0.79,0.01,0.01,0.21,0.75,0.67,3.3
230,David Peterson,0.05,0.1,0.1,0.16,0.06,0.47,0.16,0.15,0.19,0.54,0.25,0.42,0.05,0.36,0.15,0.05,3.26
231,Patrick Corbin,0.08,0.09,0.06,0.1,0.16,0.01,0.25,0.35,0.29,0.18,0.54,0.39,0.08,0.35,0.24,0.01,3.18
232,Logan Allen,0.02,0.03,0.03,0.03,0.07,0.5,0.12,0.18,0.08,0.08,0.58,0.04,0.02,0.4,0.05,0.8,3.03
233,J.A. Happ,0.1,0.13,0.05,0.04,0.3,0.01,0.05,0.18,0.25,0.16,0.67,0.06,0.1,0.14,0.5,0.2,2.94
234,Spenser Watkins,0.01,0.01,0.01,0.01,0.07,0.36,0.07,0.1,0.54,0.02,0.62,0.03,0.01,0.08,0.61,0.31,2.86
235,Matt Shoemaker,0.02,0.05,0.02,0.02,0.09,0.4,0.15,0.41,0.34,0.03,0.33,0.2,0.02,0.25,0.36,0.03,2.72
236,Daniel Lynch,0.03,0.05,0.07,0.13,0.04,0.34,0.12,0.1,0.12,0.12,0.27,0.47,0.03,0.57,0.2,0.02,2.68
237,Dean Kremer,0.02,0.11,0.01,0.01,0.12,0.32,0.01,0.01,0.08,0.19,0.24,0.11,0.02,0.2,0.75,0.41,2.61
238,Carlos Martínez,0.04,0.1,0.15,0.23,0.01,0.36,0.38,0.25,0.22,0.05,0.28,0.04,0.04,0.29,0.14,0.03,2.61
239,Jake Arrieta,0.03,0.06,0.03,0.06,0.07,0.19,0.25,0.08,0.12,0.12,0.34,0.02,0.03,0.23,0.17,0.8,2.6
240,Brett Anderson,0.06,0.02,0.13,0.37,0.1,0.22,0.22,0.08,0.03,0.03,0.72,0.01,0.06,0.06,0.01,0.32,2.44
241,Zach Davies,0.03,0.03,0.08,0.22,0.01,0.05,0.28,0.25,0.16,0.1,0.16,0.21,0.03,0.03,0.08,0.51,2.23
